P083	小學	中西區聖安多尼學校     CENTRAL & WESTERN DIST ST ANTHONY'S SCH     http://www.cwsa.edu.hk	香港醫院道２號	2 HOSPITAL ROAD HONG KONG
P084	小學	柴灣角天主教小學     CHAI WAN KOK CATHOLIC PRIMARY SCHOOL     http://cwk.edu.hk/	新界荃灣安賢街２－１０號	2-10 ON YIN STREET TSUEN WAN NEW TERRITORIES
P085	小學	陳瑞祺（喇沙）小學     CHAN SUI KI (LA SALLE) PRIMARY SCHOOL     http://www.cskps.edu.hk	九龍九龍城常盛街２２號	22 SHEUNG SHING STREET HOMANTIN KOWLOON
P086	小學	啓基學校     CHAN'S CREATIVE SCHOOL     http://www.ccs.edu.hk	九龍界限街７１號新翼	NEW WING 71 BOUNDARY STREET KOWLOON
P087	小學	啓基學校（港島）     CHAN'S CREATIVE SCHOOL (HONG KONG ISLAND     http://www.ccshki.edu.hk	香港北角馬寶道８２號	82 MARBLE ROAD NORTH POINT HONG KONG
P088	小學	長洲聖心學校     CHEUNG CHAU SACRED HEART SCHOOL     http://www.ccshs.edu.hk	新界長洲教堂路長洲地段第９１６號及１０９２號	C C LOT NOS 916 & 1092, CHURCH ROAD CHEUNG CHAU NEW TERRITORIES
P089	小學	慈航學校     CHI HONG PRIMARY SCHOOL     http://www.chihong.edu.hk	新界沙田源昌里１號	1 YUEN CHEONG LANE SHATIN NEW TERRITORIES
P090	小學	佛教志蓮小學     CHI LIN BUDDHIST PRIMARY SCHOOL     http://www.chilinbps.edu.hk	新界將軍澳唐俊街一號	1 TONG CHUN STREET TSEUNG KWAN O, NEW TERRITORIES
P091	小學	慈恩學校     CHI YUN SCHOOL     http://www.chiyun.edu.hk	九龍深水埗廣利道１９號	19 KWONG LEE ROAD SHAMSHUIPO KOWLOON
P092	小學	晉德學校     CHINESE ACADEMY   	香港銅鑼灣加路連山道七十七號新翼地下及１樓、孔聖堂、籃球場、新翼地下樓梯及１樓樓梯	G/F. & 1/F. OF NEW WING BUILDING CONFUCIUS HALL, BASKETBALL COURT, AND STAIRCASE, 77 CAROLINE HILL ROAD CAUSEWAY BAY HONG KONG
P093	小學	漢基國際學校     CHINESE INTERNATIONAL SCHOOL     http://www.cis.edu.hk/	香港東區寶馬山道校園徑１號	1 HAU YUEN PATH BRAEMAR HILL HONG KONG
P094	小學	北角循道學校     CHINESE METHODIST SCHOOL (NORTH POINT)     http://www.cmsnp.edu.hk	香港北角百福道１５號	15 PAK FUK ROAD NORTH POINT HONG KONG
P095	小學	丹拿山循道學校     CHINESE METHODIST SCHOOL, TANNER HILL     http://www.cmsth.edu.hk	香港北角百福道４號	4 PAK FUK ROAD NORTH POINT HONG KONG
P096	小學	中華基督教青年會小學     CHINESE YMCA PRIMARY SCHOOL     http://www.cymcaps.edu.hk/	新界元朗天水圍１０２區第四期（第二學校）	AREA 102 TIN SHUI WAI PHASE 4 (SCHOOL 2) YUEN LONG NEW TERRITORIES
P097	小學	青松侯寶垣小學     CHING CHUNG HAU PO WOON PRIMARY SCHOOL     http://www.cchpwps.edu.hk	新界大嶼山東涌富東邨	FU TUNG ESTATE TUNG CHUNG LANTAU ISLAND NEW TERRITORIES
P098	小學	香港潮商學校     CHIU SHEUNG SCHOOL, HONG KONG     http://www.csshk.edu.hk	香港薄扶林道７９號Ｂ	79B POKFULAM ROAD HONG KONG
P099	小學	潮陽百欣小學     CHIU YANG POR YEN PRIMARY SCHOOL     http://www.cypy.edu.hk	新界元朗天水圍第１０４區	AREA 104 TIN SHUI WAI, YUEN LONG NEW TERRITORIES
P100	小學	香港潮陽小學     CHIU YANG PRIMARY SCHOOL OF HONG KONG     http://www.cyps.edu.hk	新界元朗天水圍天耀邨第三期	TIN YIU ESTATE, PHASE III TIN SHUI WAI , YUEN LONG NEW TERRITORIES
P101	小學	祖堯天主教小學     CHO YIU CATHOLIC PRIMARY SCHOOL     http://www.choyiu.edu.hk	新界葵涌敬祖路１０號祖堯邨	CHO YIU CHUEN NO. 10 KING CHO ROAD KWAI CHUNG NEW TERRITORIES
P102	小學	才俊學校     CHOI JUN SCHOOL     http://www.choijun.edu.hk/	新界沙田大圍顯泰街２號	2 HIN TAI STREET SHATIN NEW TERRITORIES
P103	小學	彩雲聖若瑟小學     CHOI WAN ST JOSEPH'S PRIMARY SCHOOL     http://www.cwsj.edu.hk	九龍黃大仙彩雲邨	CHOI WAN ESTATE WONG TAI SIN KOWLOON
P104	小學	基督教宣道會宣基小學     CHR & MISSIONARY ALLIANCE SUN KEI PRI SC     http://www.sunkei.edu.hk	新界將軍澳尚德邨	SHEUNG TAK ESTATE TSEUNG KWAN O NEW TERRITORIES
P105	小學	香港九龍塘基督教中華宣道會陳元喜小學     CHRISTIAN ALLIANCE H C CHAN PRI SCH     http://www.cahcc.edu.hk/	新界沙田秦石邨	CHUN SHEK ESTATE SHATIN NEW TERRITORIES
P106	小學	宣道國際學校     CHRISTIAN ALLIANCE INTERNATIONAL SCHOOL    https://www.caisbv.edu.hk/	九龍長沙灣瓊林街３３號教學大樓及停車場	ACADEMIC BUILDING AND CARPARK 33 KING LAM STREET CHEUNG SHA WAN KOWLOON
P107	小學	宣道會葉紹蔭紀念小學     CHRISTIAN ALLIANCE S Y YEH MEM PRI SCH     http://www.casyymps.edu.hk/	新界元朗天水圍天澤邨	TIN CHAK ESTATE TIN SHUI WAI, YUEN LONG NEW TERRITORIES
P108	小學	香港九龍塘基督教中華宣道會台山陳元喜小學     CHRISTIAN ALLIANCE T S H C CHAN PRI SCH     http://www.catshcc.edu.hk	新界沙田馬鞍山頌安邨	CHUNG ON ESTATE, MA ON SHAN SHATIN NEW TERRITORIES
P109	小學	真鐸學校     CHUN TOK SCHOOL     http://www.cts.edu.hk	九龍鑽石山斧山道１７１號	171 HAMMER HILL ROAD NKIL 3511 DIAMOND HILL KOWLOON
P110	小學	鐘聲學校     CHUNG SING SCHOOL     http://www.chungsing.edu.hk/	新界元朗舊墟路２９號	29 KAU HUI ROAD YUEN LONG NEW TERRITORIES
P111	小學	CLEARWATER BAY SCHOOL     http://www.cwbs.edu.hk/		D.D. 229 LOT 235, OFF CLEAR WATER BAY ROAD SAI KUNG NEW TERRITORIES
